European Region,total confirmed,total new cases,total deaths,new deaths,transmission,days since last reported
Italy,3858,769,148,41,Local transmission,0
Germany,534,272,0,0,Local transmission,0
France,420,138,6,2,Local transmission,0
Spain,257,59,3,2,Local transmission,0
United Kingdom,118,29,0,0,Local transmission,0
Norway,86,30,0,0,Local transmission,0
Switzerland,86,30,1,1,Local transmission,0
Netherlands,82,44,0,0,Local transmission,0
Sweden,61,26,0,0,Local transmission,0
Belgium,50,27,0,0,Local transmission,1
Austria,47,10,0,0,Imported cases only,0
Greece,32,23,0,0,Local transmission,1
Iceland,26,0,0,0,Imported cases only,1
San Marino,21,5,0,0,Local transmission,0
Denmark,18,8,0,0,Local transmission,1
Israel,15,0,0,0,Local transmission,1
Ireland,14,12,0,0,Local transmission,0
Czech Republic,12,7,0,0,Local transmission,0
Finland,12,5,0,0,Local transmission,0
Croatia,10,1,0,0,Local transmission,0
Georgia,9,6,0,0,Imported cases only,0
Portugal,9,0,0,0,Local transmission,1
Belarus,6,0,0,0,Local transmission,1
Romania,6,2,0,0,Local transmission,0
Slovenia,6,5,0,0,Local transmission,0
Russia,4,1,0,0,Imported cases only,0
Azerbaijan,3,0,0,0,Imported cases only,5
Estonia,3,1,0,0,Imported cases only,0
Bosnia and Herzegovina,2,0,0,0,Local transmission,1
Hungary,2,0,0,0,Imported cases only,1
Andorra,1,0,0,0,Imported cases only,3
Armenia,1,0,0,0,Imported cases only,4
Latvia,1,0,0,0,Imported cases only,3
Liechtenstein,1,0,0,0,Imported cases only,0
Lithuania,1,0,0,0,Imported cases only,7
Luxembourg,1,0,0,0,Imported cases only,4
Monaco,1,0,0,0,Under investigation,5
Macedonia,1,0,0,0,Imported cases only,8
Poland,1,0,0,0,Imported cases only,2
Serbia,1,1,0,0,Under investigation,0
Ukraine,1,0,0,0,Imported cases only,2
