European Region,total confirmed,total new cases,total deaths,new deaths,transmission,days since last reported
Italy,5883,1247,234,37,Local transmission,0
Germany,795,156,0,0,Local transmission,0
France,706,93,10,1,Local transmission,0
Spain,430,56,5,0,Local transmission,0
Switzerland,264,55,2,1,Local transmission,0
United Kingdom,210,43,2,1,Local transmission,0
Netherlands,188,60,1,0,Local transmission,0
Belgium,169,60,0,0,Local transmission,0
Sweden,161,24,0,0,Local transmission,0
Norway,147,34,0,0,Local transmission,0
Austria,104,38,0,0,Local transmission,0
Greece,66,34,0,0,Local transmission,0
Iceland,45,0,0,0,Local transmission,1
Denmark,31,8,0,0,Local transmission,0
San Marino,27,3,1,1,Local transmission,0
Czech Republic,26,14,0,0,Local transmission,0
Israel,25,6,0,0,Local transmission,0
Portugal,21,8,0,0,Local transmission,0
Finland,19,0,0,0,Local transmission,1
Ireland,19,1,0,0,Local transmission,0
Romania,13,6,0,0,Local transmission,0
Georgia,12,3,0,0,Imported cases only,0
Slovenia,12,3,0,0,Local transmission,0
Croatia,11,0,0,0,Local transmission,1
Estonia,10,0,0,0,Imported cases only,1
Azerbaijan,9,0,0,0,Imported cases only,1
Hungary,7,3,0,0,Local transmission,0
Russia,7,0,0,0,Imported cases only,1
Belarus,6,0,0,0,Local transmission,3
Poland,6,1,0,0,Imported cases only,0
Malta,3,3,0,0,Imported cases only,0
Macedonia,3,0,0,0,Imported cases only,1
Slovakia,3,2,0,0,Local transmission,0
Bosnia and Herzegovina,2,0,0,0,Local transmission,3
Bulgaria,2,2,0,0,Local transmission,0
Luxembourg,2,0,0,0,Imported cases only,1
Andorra,1,0,0,0,Imported cases only,5
Armenia,1,0,0,0,Imported cases only,6.
Holy See (Vatican City),1,0,0,0,Under investigation,2
Latvia,1,0,0,0,Imported cases only,5
Liechtenstein,1,0,0,0,Imported cases only,2
Lithuania,1,0,0,0,Imported cases only,9
Monaco,1,0,0,0,Under investigation,7
Republic of Moldova,1,1,0,0,Imported cases only,0
Serbia,1,0,0,0,Under investigation,2
Ukraine,1,0,0,0,Imported cases only,4
