European Region,total confirmed,total new cases,total deaths,new deaths,transmission,days since last reported
Italy,3089,587,107,27,Local transmission,0
France,282,73,4,0,Local transmission,0
Germany,262,66,0,0,Local transmission,0
Spain,198,47,1,1,Local transmission,0
United Kingdom,89,38,0,0,Local transmission,0
Switzerland,56,20,0,0,Local transmission,0
Norway,56,23,0,0,Local transmission,0
Netherlands,38,10,0,0,Local transmission,0
Austria,37,13,0,0,Imported cases only,0
Sweden,35,11,0,0,Local transmission,0
Iceland,26,10,0,0,Imported cases only,0
Belgium,23,15,0,0,Local transmission,0
San Marino,16,8,0,0,Local transmission,0
Israel,15,3,0,0,Local transmission,0
Denmark,10,2,0,0,Local transmission,0
Croatia,9,0,0,0,Local transmission,1
Greece,9,2,0,0,Local transmission,0
Finland,7,0,0,0,Local transmission,2
Portugal,7,5,0,0,Local transmission,0
Belarus,6,5,0,0,Local transmission,0
Czech Republic,5,0,0,0,Imported cases only,1
Romania,4,0,0,0,Local transmission,1
Azerbaijan,3,0,0,0,Imported cases only,4
Georgia,3,0,0,0,Imported cases only,4
Russia,3,0,0,0,Imported cases only,2
Bosnia and Herzegovina,2,2,0,0,Local transmission,0
Estonia,2,0,0,0,Imported cases only,1
Hungary,2,2,0,0,Imported cases only,0
Ireland,2,0,0,0,Imported cases only,1
Andorra,1,0,0,0,Imported cases only,2
Armenia,1,0,0,0,Imported cases only,3
Latvia,1,0,0,0,Imported cases only,2
Lithuania,1,0,0,0,Imported cases only,6
Luxembourg,1,0,0,0,Imported cases only,3
Monaco,1,0,0,0,Under investigation,4
Macedonia,1,0,0,0,Imported cases only,7
Poland,1,0,0,0,Imported cases only,1
Slovenia,1,1,0,0,Imported cases only,0
Ukraine,1,0,0,0,Imported cases only,1
Liechtenstein,1,0,0,0,Imported cases only,1
