European Region,total confirmed,total new cases,total deaths,new deaths,transmission,days since last reported
Italy,9172,1797,463,97,Local transmission,0
France,1402,286,30,11,Local transmission,0
Germany,1139,27,2,2,Local transmission,0
Spain,1024,435,28,18,Local transmission,0
Switzerland,332,0,2,0,Local transmission,1
United Kingdom,323,46,3,1,Local transmission,0
Netherlands,321,56,3,0,Local transmission,0
Sweden,248,45,0,0,Local transmission,0
Belgium,239,39,0,0,Local transmission,0
Norway,192,23,0,0,Local transmission,0
Austria,131,19,0,0,Local transmission,0
Denmark,90,54,0,0,Local transmission,0
Greece,73,0,0,0,Local transmission,1
Iceland,55,0,0,0,Local transmission,2
San Marino,49,12,2,1,Local transmission,0
Finland,40,10,0,0,Local transmission,0
Israel,39,0,0,0,Local transmission,1
Czech Republic,38,6,0,0,Local transmission,0
Portugal,30,0,0,0,Local transmission,1
Ireland,24,3,0,0,Local transmission,0
Slovenia,23,7,0,0,Local transmission,0
Poland,16,5,0,0,Local transmission,0
Georgia,15,2,0,0,Imported cases only,0
Romania,15,0,0,0,Local transmission,1
Croatia,12,1,0,0,Local transmission,0
Estonia,10,0,0,0,Imported cases only,3
Azerbaijan,9,0,0,0,Imported cases only,3
Hungary,9,0,0,0,Local transmission,1
Macedonia,7,4,0,0,Local transmission,0
Russia,7,0,0,0,Imported cases only,3
Slovakia,7,2,0,0,Local transmission,0
Belarus,6,0,0,0,Local transmission,5
Latvia,6,3,0,0,Imported cases only,0
Luxembourg,5,3,0,0,Imported cases only,0
Bulgaria,4,0,0,0,Local transmission,2
Malta,4,1,0,0,Imported cases only,0
Albania,2,0,0,0,Imported cases only,1
Bosnia and Herzegovina,2,0,0,0,Local transmission,5
Cyprus,2,2,0,0,Imported cases only,0
Andorra,1,0,0,0,Imported cases only,7
Armenia,1,0,0,0,Imported cases only,8
Holy See (Vatican City),1,0,0,0,Under investigation,4
Liechtenstein,1,0,0,0,Imported cases only,4
Lithuania,1,0,0,0,Imported cases only,11
Monaco,1,0,0,0,Under investigation,9
Republic of Moldova,1,0,0,0,Imported cases only,2
Serbia,1,0,0,0,Under investigation,4
Ukraine,1,0,0,0,Imported cases only,6
